,emotion,plutchik,selection0,selection1,label
31,"['curious', 'confuse', 'none']","['curious', 'confuse', 'none']",I was sitting in band class waiting to begin when I got a text.,I realized it was a dead woman.,0
32,"['thirsty', 'satisfied', 'content']","['thirsty', 'satisfied', 'content']",I went to the fridge to get a bottle of water.,Her classmates thought she was even prettier with her new glasses!,0
33,"['happy', 'delighted', 'good', 'Joy', 'Surprise', 'Trust', 'satisfied.']","['happy', 'delighted', 'good', 'Joy', 'Surprise', 'Trust', 'satisfied.']",The kid came over the next day and was so delighted.,"While searching, Bart's dad distracted him with popsicles.",0
34,"['painful', 'sad', 'embarressed']","['painful', 'sad', 'embarressed']","In so doing, she failed to note a rock and twisted her other ankle.",He could get what he wanted from stores like Wal-Mart and not pay.,0
35,"['helpful', 'uncaring', 'uninterested', 'relieved', 'thankful', 'nervous', 'grateful', 'surprised', 'eager']","['helpful', 'uncaring', 'uninterested', 'relieved', 'thankful', 'nervous', 'grateful', 'surprised', 'eager']",Finally he asked his mom if she had seen it.,"Lucy was surprised, but pleased when she agreed to drive her.",1
36,"['determined', 'hopeful', 'proud']","['determined', 'hopeful', 'proud']",June was visiting her aunt in New York City.,She felt she was as good of a pitcher as any boy.,1
37,"['none', 'bored', 'rebellious', 'very urgent to talk']","['none', 'bored', 'rebellious', 'very urgent to talk']",He was a funny man and wanted to host a show.,He began to make a call on his cell phone.,1
38,"['worried', 'pessimistic', 'sad', 'worried.', 'nervous.', 'concerned.', 'disappointed', 'scared', 'Upset']","['worried', 'pessimistic', 'sad', 'worried.', 'nervous.', 'concerned.', 'disappointed', 'scared', 'Upset']",His stomach was about to explode!,The sky got overcast.,1
39,"['content', 'unwelcomed', 'sad', 'none']","['content', 'unwelcomed', 'sad', 'none']",I was asked to leave.,Sarah lost her eye battling the shark.,0
40,"['none', 'Motivated', 'thrilled']","['none', 'Motivated', 'thrilled']","When the buzzer went off, he started running.",Julie arrives early to the airport for her flight.,0
41,"['tired', 'annoyed', 'fatigued']","['tired', 'annoyed', 'fatigued']",He called after her as she ran down the street.,She was on her feet all day.,1
42,"['none', 'hurried', 'depressed', 'frustrated', 'panicked']","['none', 'hurried', 'depressed', 'frustrated', 'panicked']",She was trying to come up with extra money.,Tim wanted something special for Christmas.,0
43,['none'],['none'],She found a bottle of ipecac in the medicine cabinet.,My 19 year old niece broke up with her first boyfriend last month.,1
44,['none'],['none'],Then it started where just one wheat beer gave a me a hangover.,"I did not mind, as I got my ice cream.",0
45,"['lucky', 'accomplished', 'none']","['lucky', 'accomplished', 'none']",One time I got to play during a football game.,Now he was determined not to give up until he could speak very well.,0
46,"['awestruck', 'moved', 'joy', 'none']","['awestruck', 'moved', 'joy', 'none']",Billy decided to buy the energy drink for himself.,He picked up a large beautiful shell.,1
47,"['embarassed', 'sad', 'afraid', 'angry', 'vengeful', 'bullied']","['embarassed', 'sad', 'afraid', 'angry', 'vengeful', 'bullied']","All of a sudden, she couldn't control the cursor.",Norman walked up to Charlie and punched him in the eye.,1
48,"['anxious', 'worried', 'angry']","['anxious', 'worried', 'angry']",They liked to splash around in the creek.,He lost track of his phone.,1
49,"['none', 'happy', 'content', 'important']","['none', 'happy', 'content', 'important']",Tommy didn't complete the community service.,The computer came preloaded with Linux operation system.,1
50,"['none', 'calm', 'lazy', 'relaxed']","['none', 'calm', 'lazy', 'relaxed']","He took it back home, and decided to play tetherball instead.",Fred starts watching television for several hours each day.,1
51,"['Hopeless', 'annoyed', 'flustered']","['Hopeless', 'annoyed', 'flustered']",She could see the traffic was barely moving.,She was nervous but she went out on stage and gave it her all.,0
52,"['embarrased', 'Then the doorbell rang.', 'excitement', 'amused', 'happy', 'funny']","['embarrased', 'Then the doorbell rang.', 'excitement', 'amused', 'happy', 'funny']","Years later, Jane and husband still laughed at the memory.",She had the best recipe for a apple pie.,0
53,"['lonely', 'happy', 'exasperated', 'Worried', 'satisfied', 'carefree']","['lonely', 'happy', 'exasperated', 'Worried', 'satisfied', 'carefree']","She wondered, after all, how often someone was struck by a car.","Zeus and Zeke now live in their own, personal cages.",1
54,['none'],['none'],That meant he was old enough to go to the doggy park.,He tried to put on a play using the transcription as the script.,0
55,"['excited', 'adventerous', 'Excited', 'anticipation']","['excited', 'adventerous', 'Excited', 'anticipation']",She went for a long time.,They set out at sunrise.,1
56,"['none', 'disheartened', 'sad', 'lonely', 'lost']","['none', 'disheartened', 'sad', 'lonely', 'lost']","People on the street gave them strange looks, but they didn't care.","As Neil was losing his infallibility, he lost his popularity.",1
57,"['upset', 'frustrated', 'none', 'annoyed', 'HELPLESS']","['upset', 'frustrated', 'none', 'annoyed', 'HELPLESS']",Jon's day went by slow but he's finally heading towards Dodger stadium.,One day he threw a tantrum.,1
58,['none'],['none'],My brother and I liked to pretend play when we were growing up.,Cindy was playing with her mom's phone.,1
59,"['none', 'Happy', 'godlike', 'proud']","['none', 'Happy', 'godlike', 'proud']",The 2007 Patriots team was considered by most the best of all time.,Brent wanted a girlfriend.,0
60,"['Hungry', 'happy', 'hungry']","['Hungry', 'happy', 'hungry']",Bob was eating a muffin.,He finds out that a group on campus is taking a trip to Florida.,0
61,"['SAD', 'distressed']","['SAD', 'distressed']",Kevin was lonely and depressed.,Tom returned to work on Monday feeling like a new man!,0
62,"['none', 'excited', 'athletic', 'stunted']","['none', 'excited', 'athletic', 'stunted']",She loved them!,Ginger had always wanted to pitch.,1
63,['none'],['none'],Ursula always slept on her belly.,Richard deliberates a bit and then names an expensive brand.,0
64,"['refreshed', 'relieved', 'appeased', 'fulfilled']","['refreshed', 'relieved', 'appeased', 'fulfilled']",Sue had to save her jeans for weekends only.,He is glad that he showered.,1
65,"['intrigued', 'resourceful', 'none']","['intrigued', 'resourceful', 'none']",I researched her background to see where she stands on the issues.,It fell on the floor and broke.,0
66,"['nervous', 'scared']","['nervous', 'scared']",The young woman was worried sick about her interview,"Finally, she had collected enough to post bail.",0
67,"['happy', 'excited', 'none']","['happy', 'excited', 'none']",I woke up happy and excited.,January was my least favorite month.,0
68,"['surprised', 'disappointed', 'disgusted', 'hungry', 'content', 'happy']","['surprised', 'disappointed', 'disgusted', 'hungry', 'content', 'happy']",She finally graduated.,"But Gina loved food so much, she didn't even noticed.",1
69,"['satisfied', 'happy']","['satisfied', 'happy']",It wasn't for a special occasion.,He found a very nice refrigerator and bought.,1
70,['mad'],['mad'],Unfortunately his interior got soaked.,They learned a lot about nature.,0
71,"['I gathered my resourced and headed out', 'joy', 'frustrated']","['I gathered my resourced and headed out', 'joy', 'frustrated']",I gathered my resourced and headed out.,The mother promised the little girl chocolate if she had no cavities.,0
72,"['none', 'curious', 'sad', 'interested', 'happy', 'excited', 'bored', 'surprise', 'pensive', 'positive']","['none', 'curious', 'sad', 'interested', 'happy', 'excited', 'bored', 'surprise', 'pensive', 'positive']",As they approached the door Gina saw Rita and Mary waiting for Tami.,She also prepared some fun games for the kids.,0
73,"['annoyed', 'sorry', 'mad', 'disappointed']","['annoyed', 'sorry', 'mad', 'disappointed']",I took my book bag from the desk and headed to school.,Tom complained to the people working.,1
74,['none'],['none'],Then a security guard found her and took her aside.,Melba went to spend the night at her friend Christine's house.,1
75,['none'],['none'],He promptly signed up for the tournament.,My grandmother bought us a ping pong table.,1
76,"['active', 'ready', 'engaged', 'like chef', 'eager to eat', 'excited', 'hunger', 'interested']","['active', 'ready', 'engaged', 'like chef', 'eager to eat', 'excited', 'hunger', 'interested']",Cliff decided enough was enough.,When I got home I started making the pizza.,1
77,"['sad', 'unhelpful', 'disappointed by this']","['sad', 'unhelpful', 'disappointed by this']",Anne's parents couldn't help her with this because times were tight.,We made it through the sand and dug into the muddy dirt.,0
78,"['irritated', 'scared', 'inquisitive', 'none', 'demanding', 'needy', 'angry']","['irritated', 'scared', 'inquisitive', 'none', 'demanding', 'needy', 'angry']",I had a pet dog.,She got up and started to head downstairs to see what her mom wanted.,1
79,"['depressed', 'panic']","['depressed', 'panic']",She remembered she missed a job interview.,They were sitting in the primary class.,0
80,"['conflicted', 'sad', 'disappointed', 'upset', 'blameful', 'uneasy', 'none']","['conflicted', 'sad', 'disappointed', 'upset', 'blameful', 'uneasy', 'none']",His daughter was allergic to the dog.,The trip is too expensive and Mason is sad.,0
81,"['disappointed', 'frustrated', 'angry', 'happy', 'sad', 'mad', 'upset', 'rebellious']","['disappointed', 'frustrated', 'angry', 'happy', 'sad', 'mad', 'upset', 'rebellious']",She told me it was everyone and everything.,She did not listen to me and wore her wings to school.,1
82,"['His friend agreed and Manuel kept his house', 'joy', 'relieved', 'none']","['His friend agreed and Manuel kept his house', 'joy', 'relieved', 'none']",His friend agreed and Manuel kept his house.,Rally's girlfriend was receiving texts at odd times.,0
83,"['excited', 'rebellious', 'irresponsible', 'ashamed', 'sad', 'upset', 'disappointed', 'oblivious', 'betrayed']","['excited', 'rebellious', 'irresponsible', 'ashamed', 'sad', 'upset', 'disappointed', 'oblivious', 'betrayed']",The man was accused of murdering his own family.,"When Nell got home, she felt guilty instead of happy.",1
84,"['none', 'excited', 'surprised (at how much food there is)']","['none', 'excited', 'surprised (at how much food there is)']",She ended up going back home to change into boots.,His friend's family ordered two large pizzas.,1
85,"['interested', 'none', 'regretful', 'frightened', 'Bewildered', 'Weak', 'Apprehensive', 'happy', 'scared']","['interested', 'none', 'regretful', 'frightened', 'Bewildered', 'Weak', 'Apprehensive', 'happy', 'scared']",She found that she liked it very much.,She stayed behind as the other students watched the sharks.,1
86,"['relieved', 'lucky', ""fortunate that he didn't get sick""]","['relieved', 'lucky', ""fortunate that he didn't get sick""]",He ate it and luckily didn't get sick.,The next day the construction is halted.,0
87,"['disappointed', 'embarrased', 'guilty', 'defeated']","['disappointed', 'embarrased', 'guilty', 'defeated']","Kim said excuse me, but the woman stayed still.","Sadly, it didn't work.",1
88,"['comfortable', 'awake', 'satisfied']","['comfortable', 'awake', 'satisfied']",She mixes it was cream and sugar.,Heather was on a trip through Texas and stayed at a hotel.,0
89,"['disappointed', 'disinterested', 'dislike']","['disappointed', 'disinterested', 'dislike']","When he got to class, he felt confident.",Gina didn't like 2 of the books she checked out.,1
90,"['surprised', 'safe', 'none', 'uncaring']","['surprised', 'safe', 'none', 'uncaring']",She drove to the nearest shelter.,He had been entrusted to make sure the burgers were perfect.,0
91,"['rushed', 'hurried', 'Tensed', 'anxious']","['rushed', 'hurried', 'Tensed', 'anxious']",My dad really enjoys going fishing.,On his way to work there was a lot of traffic.,1
92,"['desirous', 'determined', 'desire']","['desirous', 'determined', 'desire']",John really wanted a new car for his first year at university.,She was excited to have the entire day to play.,0
93,"['pressured', 'sad', 'upset', 'none']","['pressured', 'sad', 'upset', 'none']","However, in his town all young men are expected to fish.",They were at a local pool.,0
94,['none'],['none'],We used to live by a pond.,And someone dared Jill to shave her head.,0
95,"['none', 'confident', 'chef like']","['none', 'confident', 'chef like']",She grumpily mumbled not long enough.,She had the best recipe for a apple pie.,1
96,"['excited', 'hopeful', 'unique']","['excited', 'hopeful', 'unique']",Farad likes to play practical jokes on his friends.,Veronica wanted something very unique.,1
97,"['mad', 'hurt', 'upset']","['mad', 'hurt', 'upset']",He fell and broke his arm.,Eddie had a group of friends.,0
98,"['selfish', 'smart', 'bubbly']","['selfish', 'smart', 'bubbly']","He loves helping people, but loves his paycheck more.","After a few months, she decided to call me.",0
99,"['hungry', 'surprised']","['hungry', 'surprised']",The wooden seat broke in half!,There was one piece.,1
100,"['content', 'free']","['content', 'free']",No one ever told Roger all his balls never landed in the court.,She continued going back for years after.,1
101,"['proud', 'accomplished', 'none']","['proud', 'accomplished', 'none']",I prepared glazed bunny marshmallows.,The Bluejays were a good team.,1
102,"['annoyed', 'frustrated', 'defeated']","['annoyed', 'frustrated', 'defeated']",It decided to sleep on her lap.,She discovered she was tapped out of stories.,1
103,"['apologetic', 'full', 'disappointed', 'grateful', 'let down', 'dissapointed']","['apologetic', 'full', 'disappointed', 'grateful', 'let down', 'dissapointed']",He decided he didn't need to study.,June ate a burger and fries for dinner.,1
104,['none'],['none'],Lucy was so honored she gave her the bracelet.,Dave was driving home on a busy highway.,1
105,"['euphoric', 'excitement', 'happiness', 'happy', 'none']","['euphoric', 'excitement', 'happiness', 'happy', 'none']",Carter was so excited he could barely stand still in line.,I was walking on the street.,0
106,"['Sad', 'scared', 'lost', 'anxious', 'sadness', 'upset', 'sad']","['Sad', 'scared', 'lost', 'anxious', 'sadness', 'upset', 'sad']",The doctor said the diabetes has made him blind!,On a way home she met a friend.,0
107,['none'],['none'],It had horrible violence in it.,So they did rock paper scissors to see who picks.,1
108,"['happy', 'Determined']","['happy', 'Determined']",She packed her things into storage and lived in a tent on her land.,The Sharks had a game against the Fins on Sunday.,0
109,"['pleased', 'impatient', 'frustrated', 'none']","['pleased', 'impatient', 'frustrated', 'none']",He was enjoying himself except his computer was so slow.,Johnny loved his red and blue ball.,0
110,"['upset', 'frustrated', 'none']","['upset', 'frustrated', 'none']",But you weren't able to drive over the street at all.,They rode on a gondola in the canal.,0
111,"['angry', 'surprise', 'clumsy']","['angry', 'surprise', 'clumsy']",They informed me that I had to leave.,And he dropped the cookies all over the floor.,1
112,"['embrassed', 'unhappy', 'anxious', 'upset', 'worried', 'angry', 'stressed', 'concerned', 'hurried', 'nervous', 'disappointed']","['embrassed', 'unhappy', 'anxious', 'upset', 'worried', 'angry', 'stressed', 'concerned', 'hurried', 'nervous', 'disappointed']",So he decided to walk to his local grocery store instead of drive.,He had to take her back immediately.,1
113,['none'],['none'],Alicia went on a road trip.,Lexi had a passion for singing and music.,0
114,"['scared', 'embarassed', 'angry', 'intoxicated', 'none', 'useless']","['scared', 'embarassed', 'angry', 'intoxicated', 'none', 'useless']","He came to a red light, but didn't notice.",David brought his umbrella with him everywhere.,0
115,"['no reponse as he has not been located by Scottie yet.', 'gone', 'none', 'sad', 'angry', 'annoyed', 'frustrated']","['no reponse as he has not been located by Scottie yet.', 'gone', 'none', 'sad', 'angry', 'annoyed', 'frustrated']","What a relaxing, peaceful afternoon!",He can't locate a counselor that seems helpful to him.,1
116,"['none', 'proud', 'satisfied', 'complete', 'confortable']","['none', 'proud', 'satisfied', 'complete', 'confortable']","Finally, Jerry had made something of himself!",Benny was asked a question by a customer one afternoon.,0
117,"['thankful', 'lucky', 'pleasant', 'excited', 'none']","['thankful', 'lucky', 'pleasant', 'excited', 'none']",He sang along to the song.,It only cost me a few dollars and the man was very nice.,1
118,"['worried', 'CONCERNED', 'shocked', 'none', 'sad and desperate', 'panicked']","['worried', 'CONCERNED', 'shocked', 'none', 'sad and desperate', 'panicked']",Bill almost got hit by a car being chased by the police!,He said that his property caught on fire and he needed my help.,1
119,"['in awe', 'excited', 'amazed', 'Happy', 'scared', 'weird', 'exciting', 'proud']","['in awe', 'excited', 'amazed', 'Happy', 'scared', 'weird', 'exciting', 'proud']",Barry was thrilled to see a school of jumping fish.,He was sure that he had done a bad job.,0
120,['none'],['none'],The due date for taxes was quickly approaching.,Dan plucked the mushrooms out of the ground.,0
121,"['Inadequate', 'Self Conscious', 'justified']","['Inadequate', 'Self Conscious', 'justified']",Tara wanted to get into shape.,I called my mechanic and had it checked out.,0
122,['none'],['none'],The eyes popped open and its ears shot up.,He started his classes well.,0
123,"['eager', 'excited', 'none']","['eager', 'excited', 'none']",Beth didn't understand why he hadn't called Amy.,She arrived at the theater and tried to buy a ticket.,1
124,"['thrilled', 'guilty', 'merry', 'upset', 'ANGRY', 'MAD', 'IRRITATED', 'annoyed']","['thrilled', 'guilty', 'merry', 'upset', 'ANGRY', 'MAD', 'IRRITATED', 'annoyed']",This angered his mother who had to chase after the ball.,She tried out for several minor league teams.,0
125,"['ashamed', 'very much down', 'disappointed']","['ashamed', 'very much down', 'disappointed']",Her friends were all going snorkeling on Saturday.,John did not go to Six Flags.,1
126,"['none', 'scared', 'frustration', 'annoyed']","['none', 'scared', 'frustration', 'annoyed']",The mouse hid under a rock.,Pam's kids were in school.,0
127,"['happy', 'enamored', 'loving', 'relieved', 'Joyful']","['happy', 'enamored', 'loving', 'relieved', 'Joyful']",Their kids were excitedly happy.,We fell in love with her on the first day.,1
128,"['none', 'guilty', 'shocked', 'oblivious']","['none', 'guilty', 'shocked', 'oblivious']",Her boyfriend was upset he didn't propose to her first.,Lucy poured the Comet in not realizing she used too much.,1
129,"['none', 'ashamed']","['none', 'ashamed']",Bob could not find his cell phone.,He got into big trouble and now has a record.,1
130,"['happy', 'accomplished', 'excited', 'none', 'Pleased', 'proud', 'excitement']","['happy', 'accomplished', 'excited', 'none', 'Pleased', 'proud', 'excitement']","But thankfully, he laughed it off and said it was okay.",We were able to raise $20-30 dollars for the day.,1
131,"['playful', 'determined', 'pleased']","['playful', 'determined', 'pleased']",He would build the covered wagon and I would pack for the long trip.,He tries to ask her out.,0
132,"['none', 'a family', 'anxious', 'interested', 'desire']","['none', 'a family', 'anxious', 'interested', 'desire']",John couldn't believe the sight and he was brought to tears.,Katrina always wanted children.,1
133,"['relieved', 'justified', 'sad', 'devastated', 'heartbroken', 'morose', 'distraught']","['relieved', 'justified', 'sad', 'devastated', 'heartbroken', 'morose', 'distraught']",Sara broke up with her boyfriend.,She decided to eat the cereal without milk the next time.,0
134,"['calm', 'regretful', 'frustrated']","['calm', 'regretful', 'frustrated']",Carlos calmed down.,"She tried a different store, but it was too expensive.",0
135,"['focused', 'determined', 'accomplished', 'none']","['focused', 'determined', 'accomplished', 'none']",She made the bread according to an online receipe.,The people around Russell laughed.,0
136,"['Relieved', 'Less Self Conscious', 'grateful']","['Relieved', 'Less Self Conscious', 'grateful']",This made Anna feel a lot better about her own situation.,He learned about streaming video games and letting people watch.,0
137,"['excited', 'motivated', 'determined', 'great', 'shocked', 'none']","['excited', 'motivated', 'determined', 'great', 'shocked', 'none']",After about an hour Alice got in the car and drove home.,"After months of practicing, Will moved to Hollywood.",1
138,"['elated', 'ecstatic', 'overjoyed', 'competent']","['elated', 'ecstatic', 'overjoyed', 'competent']",She bought a sandwich for lunch.,Ramona's book about history is now a best seller.,1
139,"['none', 'upset', 'disappointed', 'rejected']","['none', 'upset', 'disappointed', 'rejected']",Fred quickly broke up with her and they lost contact.,He felt secretly disappointed.,1
140,"['fun', 'satisfied', 'excited', 'happy', 'none']","['fun', 'satisfied', 'excited', 'happy', 'none']",She got lots of food and decorations.,One day a guy she liked said he played piano.,0
141,"['none', 'grateful', 'happy', 'thankful']","['none', 'grateful', 'happy', 'thankful']",Ike recognized his parents' sacrifice and thanked them profusely.,The television said a tornado was coming.,0
142,['none'],['none'],The Smiths were having a family dinner.,I was driving around a neighborhood.,1
143,"['Rushed', 'Amazement', 'anxious', 'excited']","['Rushed', 'Amazement', 'anxious', 'excited']",He needed to pull a B on his test in order to pass his class.,Finally she saw one at the store but it was the last one.,1
144,"['like a hero', 'not person', 'obedient', 'safe', 'relieved', 'concerned', 'helpful', 'caring', 'scared']","['like a hero', 'not person', 'obedient', 'safe', 'relieved', 'concerned', 'helpful', 'caring', 'scared']",Some nearby people went to go check on Carl and make sure he was fine.,Dennis had to replace the carpet.,0
145,"['sad', 'frustrated']","['sad', 'frustrated']",At first she was terrible.,And she never got to run in the marathon.,0
146,"['Creeped out', 'disgusted', 'shock']","['Creeped out', 'disgusted', 'shock']","After the appraisal, Dan got the greatest news ever.","Then, I realize it wasn't hairs, but legs.",1
147,['none'],['none'],Bess went wedding dress shopping.,The family shared a basket of fries.,0
148,"['Embarrassed', 'alarmed', 'scared', 'frustrated']","['Embarrassed', 'alarmed', 'scared', 'frustrated']",The teacher required him to retake the course.,The check bounced.,1
149,"['apologetic', 'glad', 'relieved', 'unsatisfied', 'caring', 'confused']","['apologetic', 'glad', 'relieved', 'unsatisfied', 'caring', 'confused']",Her friends ate it any way so they would not hurt Sarah's feelings.,She placed the chicken in one place and prepared to make seasoning.,0
150,"['disappointed', 'dissapointed', 'Disappointed', 'none']","['disappointed', 'dissapointed', 'Disappointed', 'none']",They were sold out of her favorite cake.,So he decided to take books on the public domain and sell them.,0
151,"['anticipation', 'happy', 'none', 'curious', 'very sportive']","['anticipation', 'happy', 'none', 'curious', 'very sportive']",He took a deep breath as he lined up his shot.,Villanova and Oklahoma punched their tickets on Saturday night.,1
152,"['Startled', 'Afraid', 'DISGUST', 'terrified', 'amused', 'accomplised', 'mischevious']","['Startled', 'Afraid', 'DISGUST', 'terrified', 'amused', 'accomplised', 'mischevious']",His little brother was terrified.,Then the friend met someone through the website.,0
153,"['none', 'slow', 'confident']","['none', 'slow', 'confident']","He knew he could do it, he just wasn't sure how fast he could go.",Tim was downtown with friends.,0
154,['none'],['none'],Michelle got into the car with Jimmy.,Courtney was so surprised when she got her new pet.,0
155,"['Jen was great at cooking biscuits.', 'accomplished', 'excited']","['Jen was great at cooking biscuits.', 'accomplished', 'excited']",She woke up one morning to cook homemade biscuits.,And it was cheaper than what she usually wore!,0
156,"['anger', 'very helping', 'angry', 'sad', 'annoyed', 'frustrated', 'aggravated']","['anger', 'very helping', 'angry', 'sad', 'annoyed', 'frustrated', 'aggravated']",Then she got her first check.,And they could never find a compromise for anything.,1
157,"['satisfied', 'happy', 'none']","['satisfied', 'happy', 'none']",I bought a Toad character yesterday.,Finian worked as a coach at a local high school.,0
158,"['hungry', 'accomplished']","['hungry', 'accomplished']",He put a potato in the oven.,I ended up pulling out the carpet cleaner.,0
159,['none'],['none'],It was William's mom's birthday.,"He decided to get back on the curb, and a car whizzed by.",0
160,"['relief', 'disgusted', 'shocked', 'relieved']","['relief', 'disgusted', 'shocked', 'relieved']",Inside was a huge clump of hair.,He feels much better.,0
161,"['desired', 'loved', 'happy', 'excited']","['desired', 'loved', 'happy', 'excited']",She took him to the mall to get new shoes.,Lonnie asked and she said of course.,1
162,"['none', 'miserable', 'happy']","['none', 'miserable', 'happy']",Some friends and I went trekking through the woods.,We had a good meal.,1
163,"['divided', 'annoyed', 'very emotional', 'none']","['divided', 'annoyed', 'very emotional', 'none']",Lisa's prom was coming up in a few months.,"As tensions mounted, it was decided that the group would split.",1
164,['none'],['none'],Linet left the boy with a black eye and bruised leg.,He even taught her how to change a tire on a car.,1
165,"['sad', 'heartbroken', 'none', 'inanimate']","['sad', 'heartbroken', 'none', 'inanimate']","In the moving process, Tubby was misplaced in one of the boxes.",Sue signed up for a photography class at school.,0
166,"['none', 'nervous', 'helpful']","['none', 'nervous', 'helpful']",He tried giving it to her during lunch at school.,After she was done she looked into the mirror.,0
167,"['unlucky', 'angry', 'idiotic']","['unlucky', 'angry', 'idiotic']",The man fell down the stairs.,The lipstick opened in the dryer.,1
168,"['relieved', 'mischevious', 'deceptive', 'none']","['relieved', 'mischevious', 'deceptive', 'none']",She was sure no one saw so she wouldn't be blamed for it.,Simon leaned down to pick up a compact disk from the floor.,0
