,emotion,plutchik,selection0,selection1,label
34,"['eager', 'excited', 'proud', 'active', 'included']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",My friend Sam is a college professor.,Anna was hunting in the woods with her dad.,1
35,"['none', 'injured', 'surprised', 'embarrassed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I bought a bird checklist book.,The man fell down the stairs.,1
36,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","However, Jane was happy to be a farmer.","One day, Claude went missing.",1
37,"['fear', 'scared', 'relieved']","{'joy': 0, 'trust': 1, 'fear': 3, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He made his dad get the ball.,Mark thought it would be a good idea to try a new beer.,0
38,"['Ashamed', 'Sorry', 'sad', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 0, 'anticipation': 0}",Three friends went on vacation to Las Vegas.,None seem to work.,1
39,"['happy', 'thoughtful', 'hungry', 'friendly', 'helpful', 'grateful', 'generous', 'used', 'anticipation', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","We asked everyone else at the party if they wanted pizza, too.",She wasn't paying attention as she crossed the street.,0
40,"['satisfied', 'good', 'happy', 'excited', 'intrigued', 'none']","{'joy': 2, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Mike enjoys making wagers.,Tom was tired.,0
41,"['Scared', 'scared', 'uncomfortable', 'edgy', 'afraid', 'frightened', 'fear']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Her worries vanished when her new neighbors threw her a party!,They saw a very scary horror movie.,1
42,"['satisfied', 'generous', 'joy', 'Ecstatic', 'happy', 'enamored', 'surprised']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Finally Jenny tries wearing a pair of high heels to work.,And she spent the rest of the day buying items with all of her gold.,1
43,"['none', 'frustrated', 'sad', 'nostalgic']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",He felt secretly disappointed.,He was never able to remember its name.,1
44,"['happy', 'confident', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She never thought much about it until one particular day.,"My wife's niece danced and yelled ""Who said white people can't dance?""",1
45,"['rewarded', 'happy']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Then she got her first check.,I had a deadline.,0
46,"['relaxed', 'outdoorsy', 'safe']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",His mom told him he had to get a flu shot.,Luke lived in a treehouse behind his families house.,1
47,"['none', 'irritated', 'satisfied', 'revengeful']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}",He recorded the girls and posted it on Facebook.,Finally she is able to catch a cab.,0
48,"['anger', 'painful', 'sad', 'fear', 'pain', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 0}",It hurt so much I let out a howl.,"Tula became a drug queenpin, and had a price put on her head.",0
49,"['uneasy', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}",As the water got into her shoes her feet began to itch.,I decided I want to vote for a woman for US president.,0
50,"['friendly', 'happy', 'Excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",John's buddy came in and shook John's hand.,"He would never get involved with activities, but just watch.",0
51,"['accomplished', 'successful', 'proud of catching thief', 'Caught', 'regretful', 'ashamed']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The play began.,Brad was arrested for the crime and sent to jail.,1
52,"['curious', 'inspired', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Jake had wanted to climb the tower for a long time.,Veronica wanted to change her hairstyle.,1
53,"['accomplished', 'happy', 'encouraged', 'grateful', 'nervous', 'excited', 'leary', 'proud', 'awe', 'interested']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He told her he loved her painting and wanted to buy it off of her.,He got queasy.,0
54,"['calm', 'determined', 'distraught', 'happy', 'playful', 'mad']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",John installed Windows.,I saw a few kids playing with it.,1
55,"['clumsy', 'scared', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 0}",It was dark and he tripped.,Jill wanted to go skating.,0
56,"['nervous', 'confident', 'productive', 'determined']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Each player is given only three minutes.,He was a bit pre-occupied and not paying attention.,0
57,"['confused', 'happy', 'disgusted', 'Confident', 'pressured']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The clerk said yes and Missy was able to go.,"So I got the ball, but he passed to Zach!",1
58,"['bad', 'pitty', 'none', 'worried', 'annoyed', 'ashamed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He sold his work for thousands of dollars.,He broke several dishes while washing them.,1
59,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Liam and his friends loved going bowling.,I used to make necklaces in my spare time.,1
60,"['panicked', 'foolish', 'hurt', 'Surprised', 'none']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Nathan ends up in massive debt.,Jason burnt one of his fingers on a match and accidentally dropped it.,1
61,"['satiated', 'gluttonous']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Kaitlyn had ordered a new cell phone.,Louise immediately grabbed it and ate it.,1
62,"['upset', 'angry', 'very angry at her mom', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 2, 'anticipation': 0}",Jill was overjoyed to have her very own apartment.,Her mom ended up grounding her as a result.,1
63,"['none', 'determined', 'animated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Jeremy wants a new pair of shoes.,Unfortunately he wasn't wearing eye protection.,0
64,['excited'],"{'joy': 2, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He saw an ad for the job and called immediately.,Bob quits and sells his business.,0
65,"['entitled', 'assured', 'lazy', 'none']","{'joy': 0, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Because of this, Bailey assumed she did not have to try too hard.","Luckily, his teacher postponed their test.",0
66,"['creative', 'accomplished', 'none']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",At the end of the tour he gave me an orange.,Bill wrote a book.,1
67,"['ashamed', 'shocked', 'none', 'unenthusiastic', 'regretful', 'appreciative', 'HAPPY', 'delighted', 'enjoyment']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","When Henry said hi, she tried to make him leave.",Jasmine told him she had enough bills and gave it back to him.,1
68,"['disapointed', 'disappointed', 'Undecided']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 1}",Jake was excited for the upcoming wrestling match.,"However, when Dan got outside, he knew he was going back inside.",1
69,"['sadness', 'conflicted', 'happy', 'desire', 'none']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Skip wishes he could join them.,And was stuck once again.,0
70,"['surprised', 'joy', 'positive']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I got into my car and went on the road.,Sally had a pond on her property.,0
71,"['none', 'sadness', 'shocked', 'sad', 'worried', 'guilty', 'distraught']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}","John's wife, Mary, wanted to bake him a cake.","After searching for an hour, Elizabeth found Drake's body in a field.",1
72,"['humilated', 'stupid', 'angry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 2, 'anticipation': 1}","Because his pain was not convincing, he was cited for fraud.",He decided to go to a discount store.,0
73,"['none', 'sad', 'disgusted', 'disgust', 'disappointment', 'happy']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 0}",Ralph overheard some guys saying rude things about her.,He would put them in the fridge until it was time to hide them.,0
74,"['happy', 'ecstatic']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Anna was having her first baby.,"Then, Daniel was able to purchase his favorite sneakers.",0
75,"['none', 'happy', 'Love for his son']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","While searching, Bart's dad distracted him with popsicles.",I felt I was too weak to perform one.,0
76,"['proud', 'pleased', 'happy', 'satisfied']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He had a huge basket of apples at the end of the day.,When she got home she realized she forgot to buy anything for dinner.,0
77,"['excited', 'confident', 'none']","{'joy': 1, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I decided not to read a recipe since I've made so many in my life.,Lisa had the most unique dress at the dance.,0
78,"['hurt', 'guilty', 'embarrased', 'shy']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Fred couldn't find her.,She looked at them with a grimace.,1
79,"['happy', 'excited', 'none']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",His date started feeling uncomfortable.,Kim was flying a kite.,1
80,"['delighted', 'proud']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",His books were all over the floor.,Yesterday Tina made a blueberry pie.,1
81,"['eager', 'embarrassed', 'diligent']","{'joy': 2, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He managed to steal the hat before leaving.,Tina wanted to be sure she had the perfect wedding dress.,1
82,"['impatient', 'frustrated', 'surprise']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 0}","He loves helping people, but loves his paycheck more.","Last weekend, she was in a hurry and stepped right off a curb.",1
83,"['determined', 'solemn', 'grim', 'blue']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Roan skateboarded down a rail.,It had been a horrible murder.,1
84,"['scared', 'worried', 'none']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jake went up one hundred stories to the top.,He knew they had a lot of teeth.,1
85,"['hopeful', 'determined']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",She purchased her equipment and quit teaching.,Darcy was eternally grateful to Joseph for that.,0
86,"['nervous', 'anticipation']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",The ball was 10 feet from the cup and he needed the putt to win.,Tom rented a vehicle.,0
87,"['none', 'happy', 'angry', 'scared']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","The cop decided to check it out, and found Mark's bag of pills.","Then, he was on TV for finding the biggest fish.",0
88,"['happy', 'normal', 'content', 'tired', 'bored', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I was passing out flyers for a real estate company.,She was walking ahead of him when she heard a buzzing.,0
89,"['embarrassed', 'sheepish']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Martin will not be a show off next time.,He went inside the front door and it was so dark.,0
90,"['none', 'satisfied', 'proud', 'happy', 'excited', 'impressive', 'successful', 'admired']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Over the next hour I completely drank the contents of the bottle.,When he was finished he went home.,1
91,"['responsible', 'proactive', 'concerned', 'anticipation', 'excited', 'empathetic', 'empathy']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",They put up signs in the area asking if anyone had lost a wallet.,Abe was walking on the beach.,0
92,"['disappointed', 'Frustrated', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",She asked them to write a letter to Santa.,"She went to buy a new one, but the store ran out of her size.",1
93,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She loved children but her grandchildren lived far away.,Robin was walking to the store.,1
94,"['unfriendly', 'embarresed', 'annoyed', 'rejected', 'mad', 'upset', 'betrayed', 'indifferent']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}",She refused to accept it.,He decided to propose to her at the food court.,0
95,"['none', 'Proud', 'proud', 'happy', 'confident']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Seth is a great drummer.,Ava is 9 and Charles is 7.,0
96,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Todd questioned if Santa Claus really existed the following morning.,Tim was studying the history of America.,1
97,"['none', 'ashamed', 'bad', 'scared']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The vet told Jerry that the food the cat was eating wasn't good.,So she swam across the whole pool and across the deep end.,0
98,"['uncomfortable', 'PEPPY']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",It didn't take long for Martin's bad decision to catch up with him.,"She usually wore flats, so this was very different for her.",1
99,"['tired', 'bored', 'impatient', 'irritated', 'engaged', 'sad', 'hurt', 'indifferent']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",I guess I'll have to keep waiting.,Cam was remodeling his kitchen floor with blue tile.,0
100,"['happy', 'excited', 'Excited', 'Happy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",The very first job he applied to he got.,They found one at a dollar movie theatre.,1
101,"['unsure', 'thankful', 'slightly scared', 'but confident that the failed tan will go away soon', 'none']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Iris gasped but remembered it would go away soon.,She felt ready for her new adventure.,0
102,"['love', 'giving', 'romantic', 'generous', 'special', 'happy']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Be bought Julia a pendant.,Kim was upset that she couldn't find her camera anywhere.,0
103,"['happy', 'excited', 'proud', 'confident']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jimmy had a great idea for a social networking website.,There was very little to clean up afterwards.,0
104,"['disappointed', 'confused', 'educated', 'frustrated', 'surprised']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She lived with her family in a small farmhouse close to the border.,My arithmetic was wrong so the ball traveled faster than I expected.,1
105,"['angry', 'Uneasy', 'irritated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 2, 'anger': 3, 'anticipation': 0}",His girlfriend claimed she was right all along.,My mom took me to the store to buy new ones.,0
106,"['joy', 'anticipation', 'none', 'excited', 'optimistic']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She is about to make a goal for her team.,Amy needed a new pair of shoes.,0
