,emotion,selection0,selection1,label
49,"['contemplative', 'depressed', 'saddened']",Ken realized he'd gotten very old and was sad.,He offered to buy her a beer after the show.,0
50,"['nervous', 'depressed', 'jittery']",She turned on the tap and water came out.,Katherine was nervous.,1
51,"['vindicated', 'satisfied', 'smug', 'rebellious', 'disappointed', 'sorry', 'frustrated']","Georgina then got into motorcycles, to her father's dismay.",He asked why I was there and who else was there because of me.,0
52,"['foodie', 'affectionate', 'proud', 'happy', 'yearning', 'sad', 'poignant', 'surprise']",The boy won the contest with his song.,"Meagan admitted the spaghetti was great, and tasted like their mom's.",1
53,"['relaxed', 'excited']",Billy and Joe left for vacation yesterday.,Suddenly Cullen's team turned it around at the end and he won the bet.,0
54,"['regret', 'happy', 'lazy']",She rarely studied and spent most of her time with friends.,"She went to buy a new one, but the store ran out of her size.",0
55,"['happy', 'confident']",However to my surprise when I got it I never used it.,"My wife's niece danced and yelled ""Who said white people can't dance?""",1
56,"['frustrated', 'sad', 'relief', 'exhausted', 'tired']",The cleaners cleaned all of my air ducts.,The car needed new spark plugs.,1
57,"['guilty', 'upset', 'betrayed', 'appalled', 'satisfied', 'afraid', 'angry', 'embarrassed']",Her sister told on her as soon as their mom came home.,He drinks it.,0
58,"['interested', 'excited', 'calm']",She would receive fresh vegetables and fruit from a local farm.,Kay was at work when a headache started.,0
59,"['joy', 'content']",Gina's family had been back in Illinois for 2 weeks.,So he jogged for miles everyday.,0
60,"['frustrated', 'upset']",This time the train was late.,"Her friend, Lori, made a negative comment about Donald Trump.",0
61,"['connected', 'happy', 'accomplished', 'excited', 'fulfills', 'positive']",We rode all the roller coasters.,She recorded all the cheers at the games.,0
62,"['guilty', 'ashamed', 'humiliated', 'scared', 'upset', 'disappointed']",Aubrey spotted her old friend Mary across the aisle.,He called his wife to post bail for him.,1
63,"['hungry', 'prepared']",Ethan turned the oven on.,I picked him up and we drove to a local park.,0
64,"['worried', 'anxious', 'nervous']",Carlos just got a new apartment.,The dog started sniffing intently under a bush.,1
65,"['optimistic', 'uncertain', 'anxious', 'excited']","Once it was packed, he put it in a truck and drove it away.",I literally smacked right into him as I was running around a corner.,0
66,"['nervous', 'protective', 'trepidations']",Tom turned around and drove home.,He didn't want anything messing up his beautiful lawn.,1
67,"['happy', 'comforted', 'purposeful', 'admired', 'satisfied']",Her friend knew a physics professor who offered to tutor her.,Tom was out driving with his girlfriend.,1
68,"['grateful', 'ashamed', 'surprised', 'excited', 'helpful', 'hurt', 'confused', 'generous', 'happy']",I managed to get a job.,I also sold them at different conventions.,0
69,"['happy', 'relieved', 'sorry', 'relief', 'stress', 'beleaguered']",But one day she noticed that there were holes in the leaves.,"Every Friday after work, the pair went to the local bar for a drink.",1
70,"['hipped', 'anonymous', 'worried', 'happy', 'safe', 'secretive']",They allow the man to remain anonymous because he is from Iraq.,Dan and his daughter went to the supermarket.,0
71,"['despair', 'annoying', 'determined']",The score was tied and I knew I needed to make this serve.,He kept acting up in the background.,1
72,"['surprised', 'scared', 'alarmed']",She ended up whining on the floor.,Suddenly the branch gave way beneath him.,1
73,"['relieved', 'happy', 'nervous', 'happiness', 'annoyed', 'protective', 'hopeful']","He warned Nora that he had a male cat, but Nora only smiled.",They acted like I was being too sensitive.,0
74,"['lucky', 'surprised', 'fine']",Henry landed on a giant bush and was fine.,"Unfortunately, Rick tackled him in the groin.",0
75,"['satisfied', 'pleased']","He had ordered the newest tablets, computers and cell phones to sell.",Tom found one with healthy ingredients.,1
76,"['scared', 'worried', 'happy', 'better']",The vet prescribed a painkiller to make the dog more comfortable.,She had just broken up with her boyfriend.,0
77,"['tired', 'exhausted', 'amazed', 'disappointed', 'sad', 'lonely', 'indifferent']",I quoted a few people and it's all over my budget.,I didn't make it home until after 8pm.,1
78,"['sheepish', 'jumbled', 'disheveled', 'rushed', 'frustrated', 'disappointed']",Now I have to wear this cast for 4 weeks.,"They took their family photo, although the boy was mismatched.",1
79,"['ashamed', 'frustrated', 'disgusted']",He decided he would just cover up the mess with towels.,Sonny was spending a night in the town with his friends.,0
80,"['happy', 'guilty', 'lucky', 'grateful']",Lisa's father warned her to stop drinking as much.,The next day her friend May brought one for Gina.,1
81,"['angry', 'bothered', 'guilty', 'sorry', 'embarrassed']","Bart's sister emerged an hour later, rather annoyed.",She said yes.,0
82,"['disappointed', 'hopeful', 'nervous', 'confused', 'curious', 'scared', 'indifferent']",He took her to dinner the next day.,He had written the word maybe.,1
83,"['excited', 'desire', 'hopeful', 'excitement']",FOr months and months he wondered where it all went.,Wanda and Katie wanted to go the the mall.,1
84,"['anticipation', 'determined', 'frustrated']",He decided to bring in a lawyer.,She accepted the job with her parent's permission.,0
85,"['hopeful', 'eager', 'frustrated', 'determined']",He sought a professional tutor.,I started to feel gross.,0
86,"['happy', 'relaxed']",John was getting really anxious for his upcoming birthday party.,Brittany loved to dance.,1
87,"['focused', 'fulfilled']",He went to the store to buy some.,Her aunt told her that she needed to wash her hands first.,0
88,"['embarrassed', 'sheepish']",Martin will not be a show off next time.,He decided he had to get his hair cut.,0
89,"['anticipation', 'social', 'inquisitive']",My parents got new jobs.,Gina wanted to chat as well.,1
90,"['anxious', 'nervous']",Eli really had to urinate.,Tom drive straight into a tree.,0
91,"['frustrated', 'overwhelmed', 'anxious']",They went to a steakhouse in the area.,I started outpatient physical therapy in late January.,1
92,"['happy', 'entertained', 'relaxed']",Sarah never could get the recognition she deserved.,I was playing my video game.,1
93,"['sick', 'dismayed']",I was out in the town one weekend.,She found a bottle of ipecac in the medicine cabinet.,1
94,"['relief', 'powerful', 'proud', 'disappointed', 'defeated', 'humiliated', 'sad', 'disgusted', 'embarrassed']",Mike points to a garden hose on the ground and collects his money.,"She never played, but she was feeling lucky this week.",0
95,"['indifferent', 'content', 'thirsty']",She took it with her abroad.,I liked soda.,1
96,"['angry', 'upset', 'distraught', 'disappointed']","Jim orders a pair, the owner works hard but realizes he messed up.","Her guests arriving, Ann found her dinner stuck to the pan in a mess!",1
97,"['disappointed', 'angry', 'positive', 'upset', 'sad']",Her parents took her phone away from her until she gets her grades up.,He kept scrolling through them.,0
98,"['emasculated', 'guilty', 'embarrassed', 'angry', 'annoyed', 'frustrated']",It was a toy airplane.,His wife lectured him thoroughly.,1
99,"['ashamed', 'remorseful', 'confused', 'worried', 'embarrassed']",They hear loud noises and when the storm was over they came out.,"Professor Smith asked for forgiveness, he'd recently had a stroke.",1
100,"['relieved', 'happy', 'upset']",Cleo refused to brush his teeth at night.,He was found to be innocent.,1
101,"['afraid', 'scared']",Afterwards there is a knock on the door.,Inside the room was a puppy!,0
102,"['excited', 'lucky', 'happy']",Jimmy and Michelle sang along loudly with it.,I got my hands on the pink phone.,1
103,"['neighborly', 'content', 'satisfied']",Andy settled with munching on raw cereal.,Vicki was happy to take part in the community event.,1
104,"['happy', 'excited', 'joy', 'glad', 'hap']",Shawn buys the dog and the two become best friends.,"When he picked it up, the screen was blank.",0
105,"['upset', 'annoyed', 'unhappy', 'frustrated']","There, it had burned a deep hole.",The light bulb above Erin's desk was broken.,1
106,"['apprehensive', 'joy', 'happy', 'excited']",The boy brought his arm back and waited for calm water.,I moved to a new town this month and need a place to live.,0
107,"['intrigued', 'closer', 'included', 'freedom']",Charles wanted to wrest his share of the family business from Fred.,Her mom sends videos to update us.,1
108,"['excited', 'happy', 'pressure', 'intrigued']",The therapy did not help.,Vladimir was trying to learn English.,1
109,"['conflicted', 'overwhelmed', 'surprised', 'calm']","She needed help because of her deafness, and already had kids.","Unfortunately, they were all sold out.",0
110,"['frustrated', 'depressed', 'concerned', 'rejected', 'outcast', 'sad']",No one wanted to hire him because of his pink hair.,He bought a plastic spider at the store.,0
111,"['positive', 'relaxed', 'content']",It was a warm day and she was wearing flip flops.,He orders a coffee and a Danish for breakfast.,0
112,"['frustrated', 'scared', 'annoyed', 'impatient', 'upset']",She drove over to the bank and got a debit card.,Lexi's mother got annoyed.,1
113,"['sad', 'outdated']","One day, Mason decided he was too old to keep performing.",Joe loved to scare his little brother during Halloween.,0
114,"['sad', 'disappointed']","When she was finished, she returned the binoculars to the bench.",Tay lost the race after all.,1
115,"['protective', 'helpful', 'satisfied']","Soon, the entrepreneurs had enough money to fund their project!",Jimmy was at home watching his two year old daughter.,1
116,"['eager', 'stressful', 'prepared']",She thought she included all the ingredients.,She set out to organize her things.,1
117,"['happy', 'content', 'interested', 'proud', 'handsome']",He was also a lover of fashion.,We watched a show about traveling in France.,0
118,"['upset', 'irritated', 'angry']",Stu had to dump the spoiled food in the dumpster of the motel.,Jake passed out when the doctor asked him to cut the cord.,0
119,"['hopeful', 'disappointed', 'upset', 'defeated']",Sonny ended up signing with a modeling agency that night.,"Hoping for better weather in the morning, they went to sleep early.",1
120,"['happy', 'content', 'excited', 'relieved']",They decided to get married.,Then she gave the hat to her aunt.,0
121,['angry'],The daughter got mad.,It was the year coming up to the millennium and Cody was scared.,0
122,"['tired', 'proud', 'concerned', 'excited', 'happy']",She took him to the mall to get new shoes.,They would meet up every Saturday.,0
123,"['sad', 'disappointed']",They carried the box all the way to Tim's house.,Today I found out I'm highly allergic to cats.,1
124,"['relaxed', 'happy', 'adventurous', 'tired']",They only had 5 days.,Since it was a workday it was pretty quiet with just a few dogs.,1
125,"['admired', 'happy', 'joy']",Lauren's mother even decorated the cake with candles.,"Looking down, she saw a small shivering kitten.",0
126,"['hyped', 'excited', 'eager', 'adventurous', 'anxious', '']",They set up their kayaks and climbed in to begin their trek.,In the end her mom felt bad for her and just told her to be careful.,0
127,"['upset', 'frustrated', 'regret', 'nervous', 'embarrassment']",He called his credit card company.,"When he was halfway done, the battery died on his clippers.",1
128,"['shocked', 'excited', 'hope', 'shy', 'fine', 'wanted']",One day he meets a nice girl at the grocery store.,They set up a makeshift ring in the yard.,0
129,"['sad', 'afraid']",This year I am going to plant wheat.,Camden doesn't have good luck.,1
130,"['eager', 'excited', 'happy', 'comfortable', 'relaxed']",The dessert was a cheese assortment.,He told his instructor that he wanted to learn to use weapons.,0
131,"['sad', 'antsy', 'positive']",He called the support line for the carrier.,It was hours before she finally stumbled back onto the path.,0
132,['happy'],He loved them.,I opened the birthday card and found a $100 dollar gift card.,0
133,"['sad', 'entitled', 'angry', 'disgusted']",Chris and Doug left her a small tip as revenge.,School children helped the farmer with the planting.,0
134,"['proud', 'confident']",Wearing the apron made her feel like a great chef.,It was the last time he left sunblock at home.,0
135,"['sad', 'ashamed', 'confused', 'afraid', 'angered', 'lonely', 'fear']",She wouldn't speak a word but just continued to stare out the window.,One day while he was ordering his favorite food he had a heart attack.,0
136,"['disappointed', 'bored', 'downbeat', 'calm']","After a few hours, we still had not seen any exciting birds.","Suddenly out of nowhere, the puppy darted out into the woods.",0
137,['curious'],Gina called her friend Tami and asked her opinion.,He thought she wasn't going to be able to defend herself.,0
138,"['sad', 'guilty', 'alone', 'stupid', 'self-conscious', 'unfair']",We aren't together anymore.,He saw a bunch of mushrooms growing near his deck!,0
139,"['distraught', 'overwhelmed', 'horrified', 'upset']","When she got home, her insurance company called her.",The next morning it worked fine.,0
140,"['excited', 'happy']",Timmy just got a new coffee maker in the mail.,So she went online to find cheap ones.,0
141,"['accomplished', 'better']",He went to Walmart to buy groceries.,"He tried to move them out of the way, but they wouldn't budge.",0
142,"['content', 'happy', 'hungry']",He always goes out for a special birthday dinner.,Bob lets everyone down.,0
143,"['restless', 'excited']",He was convinced the clown was going to be happy and fun.,Dan's daughter immediately threw a tantrum right there in the store.,0
144,"['grateful', 'happy', 'loved']",She drives down the highway drunk.,My friend bought me a gift for my birthday.,1
145,"['proud', 'happy']",He reached third base.,She used acid to clean the metal in her factory.,0
146,"['upset', 'disheartened', 'disappointed']",Meisha did not do well and never performed stand up again.,John went out to the lake to go fishing one morning.,0
147,"['mutually', 'flattered', 'excited', 'nervous', 'shy']",He really liked a girl at the dance.,Karina just got new blocks to play with.,0
148,"['angry', 'dominant', 'annoyed', 'relieved', 'upset', 'vindicated', 'stupefied', 'worried', 'anxious']",She wore a Red Sox cap to the game.,Her boss filed a formal complaint on her behalf.,1
149,"['intelligent', 'innovative', 'competent']",Will stood in line at the cafe counter.,He invented a device that would allow people to see through walls!,1
150,"['disappointed', 'scared', 'fear', 'guilty', 'frustrated']",Ian decided to go through with it anyway.,I never stayed at Tim's again.,1
151,"['relieved', 'unhealthy', 'shocked']",Mary was relieved to learn that Josh had two giant cavities!,Sheila loves her Australian home.,0
152,"['worried', 'annoyed']",I am not a happy person if I don't get my coffee.,He called after her as she ran down the street.,1
153,"['curious', 'content', 'secretive', 'fun', 'sneaky', 'mischievous']","Then, he got all clean.",Tom called him.,1
154,"['satisfied', 'loved', 'appreciated', 'happy', 'content']",He got gifts for all his loved ones.,She saw something run across the floor.,0
155,"['nervous', 'relieved', 'helpful', 'concerned']",He went to the doctor who suggested yet another surgery to remove it.,In the store she could not remember what the fourth thing was.,0
156,"['eager', 'welcome', 'elated', 'excited', 'great', 'fulfilled', 'contented', 'happy', 'nervous', 'anticipation']",The kids were learning about the transformation to a butterfly.,She was able to meet many new friends and experience a new culture.,1
157,"['excited', 'uncomfortable', 'nervous', 'scared']",There was a lot of underage drinking at the party.,The man had to keep walking to find water.,0
158,"['scared', 'surprised']","One day in class, her teacher went into labor.",Dan got a hammer and pounded the nail in.,0
159,"['angry', 'sad', 'mad']",Stanley became so angry he got into a bad fight.,"In the end, she could only scrounge up a meager forty seven cents.",0
160,"['competitive', 'excited', 'anxious']",There was also a skinny guy who wanted some advice on weightlifting.,The men had a contest.,1
161,"['energized', 'joyful', 'calm', 'satisfied', 'refreshed']",Coffee helps her make it through the day.,They were teaching them about experiments.,0
162,"['happy', 'sad']","I tried a generator, but it never produced much light.",He stopped at the gas station.,0
163,"['impatient', 'annoyed', 'bored']","For twenty minutes, she had to wait.",I made some stupid joke to mask the residual pain.,0
164,"['alone', 'depressed']",She decided to go to the doctor.,Jessica was a single woman and was lonely.,1
165,"['accomplished', 'curious', 'frustrated', 'disinterested', 'thankful', 'happy', 'useful', 'helpful']",The sound made them famous.,Christine loaned her a book and now Carrie is an avid reader too.,1
166,"['slow', 'confident']","He knew he could do it, he just wasn't sure how fast he could go.",He finally settled on one and bought it.,0
167,"['excited', 'exploration', 'prepared']","But afterwards, he felt sick.",Fran surged forward and explored the streets of Bangkok.,1
168,"['frustrated', 'sad']",But she did not let me because she wants me to learn my lesson.,At first the flute lessons were very difficult.,1
169,"['nervous', 'excited']",He refused to stop and ask for directions.,Tom entered his office's chili cooking contest.,1
170,"['selfish', 'indifferent']",He eventually became good at painting.,I did not respond.,1
171,"['happy', 'loved', 'grateful', 'hopeful', 'helpful', 'giving']",Bill drove his car home after work.,Jerome decided to buy his brother a video game system.,1
172,"['determined', 'nervous', 'excited', 'anticipation']",She decided she would bake fresh banana bread.,The general told did not recommend this.,0
173,"['afraid', 'scared', 'terrified', 'helpless']",Mike has a tumor growing on his head and needs it removed.,One day he came across a wonderful surprise.,0
174,"['caring', 'content', 'excited']",After about an hour Alice got in the car and drove home.,Stan was visiting his dad one weekend.,1
175,"['happy', 'regret']","Yolanda came no closer to her dream, and regretted the phase.",The gas started to overflow.,0
176,['scared'],Her parents told her that she shouldn't do that.,It was dark by the time I headed home.,1
177,"['satisfied', 'happy', 'lucky']",Tucker streamed the rest of the movie online.,I had a deadline.,0
178,"['tension', 'contempt', 'upset', 'pissed']",The order number had been accidentally switched.,He sat on a bucket and put his line in.,0
179,"['bummed', 'disgust', 'excited', 'happy']",Jen screamed and ran out the room.,The hosts offered the kids cake and ice cream.,1
180,"['entertained', 'happy', 'enjoyable']",The hiring manager decided to flip a coin to decide who to hire.,She mostly walked around watching people have fun.,1
181,"['sad', 'content', 'deranged']","Since the injury, George would not stop talking about his ankle.","He beat her to death, and painted the dollhouse walls with her blood.",1
182,"['confuse', 'destructive', 'putty', 'proud', 'determined', 'angry']",He has destroyed a few tvs in his lifetime.,Kelly really wanted her ears pierced.,0
183,"['good', 'excited', 'happy']",The waitress was embarrassed and fixed the problem.,I love the band Metallica.,1
184,"['exhausted', 'tired', 'regretful', 'happy', 'excited', 'enjoying']",Maple is having a few drinks.,They had planned a full day of activities in the morning.,1
185,"['sad', 'depressed', 'lonely']",So I stayed home by myself all day instead.,Lisa decided to study for the interview.,0
186,"['nervous', 'disappointed']",She knew she would have to explain that to her parents.,"Finally, Hernandez was able to sleep in his cave.",0
187,"['positive', 'failure', 'frustrated']",Busy with cleaning she forgets the cookies and burns them.,I returned home and set up the shed in my yard.,0
188,"['angry', 'upset', 'unhappy', 'concerned', 'confident', 'surprised']",He has a tv now but uses it only to watch dvds.,She was shocked and from then on always conserved energy.,1
189,"['betrayed', 'outraged', 'sad', 'justified', 'crushed']",Rachel was dumped  by her boyfriend.,Jane had forgotten all about her date.,0
190,"['pain', 'hurt', 'sad']",Sam broke her wrist.,She went to visit her grandparents out in the country for the weekend.,0
191,"['nervous', 'eager', 'helpful']",He was asked to fax some papers.,"Alas, there was not enough work during Christmas break.",0
192,"['happy', 'rebellious', 'panicked', 'goofy', 'fun', 'childish']",His favourite event was wheelchair rugby.,They kept climbing the stairs and knocking on doors.,1
193,"['excited', 'social', 'happy', 'adventurous']",Everything snapped and he could tell it was ruined.,"One day, my friends and I were wanting to hang out.",1
194,"['helpful', 'useful', 'excited']",He goes to the shoe store and talks to the owner.,"Candy was the owner's daughter, and Bill was asked to leave the store.",0
195,"['wanted', 'informed', 'overwhelmed', 'conflicted', 'well', 'responsible']",Tami felt she had a number of options and detailed them all.,I did not get home until January of 2012.,0
196,"['stuck', 'abandoned', 'fear']",Eliza had just gone into labor.,Tom had no way of getting home.,1
197,"['exhausted', 'sleepy']",He got tired after an hour and ran home to take a nap.,"The cat was not a kitten, but it found a loving home.",0
198,"['confident', 'unbreakable']","Against all better judgement, he made his way to his car.",Karen decided to text that question to her sister.,0
199,"['surprised', 'scared', 'annoyed']","Suddenly, a huge tuna swam under his legs and flipped him!",The police scanned the prints and tracked him down.,0
200,"['upset', 'frustrated']",Jeff did not like the band he was in.,She had tried to use a toothbrush and failed.,1
201,['happy'],She bought a new goldfish similar to her old one.,A stranger offered her his seat.,0
202,"['happy', 'included', 'social']",The coin landed on heads and Jane was hired.,Gregory felt a kinship with other dog owners.,1
203,"['sad', 'lonely']",Our friends moved back to Buffalo in 1998.,I only saw one bird and it was a sea gull.,0
204,"['accomplished', 'honest', 'positive', 'annoyed', 'ashamed', 'mad', 'sad']",Caesar said Vincent was the problem.,When Sara got home she sampled the new syrup.,0
205,"['annoyed', 'fulfilled', 'content', 'relief']",I learned to be more careful with the glue.,"After trash was picked up, I saw an extra empty garbage can outside.",1
206,"['disgusted', 'annoyed']",I told him I couldn't take it anymore.,All the dust that kicked up made him cough.,1
207,"['interested', 'excited', 'happy', 'flattered', 'conflicted', 'annoyed']",The steak didn't smell very good.,He met Julie at a gas station and they struck up a conversation.,1
208,['confident'],She ruined her record of good grades.,"He had never lost a match, and barely even a single point.",1
209,"['eager', 'excited', 'proud', 'active', 'included']",Finally she found it in the cupboard.,Anna was hunting in the woods with her dad.,1
210,"['fearful', 'depressed', 'hopeless', 'despondent']",Cara's life had been filled with very mean men.,He looked at his script from the night and took out a pen.,0
211,"['dirty', 'indifferent', 'busy']",Mike is tired of his office job.,I ended up pulling out the carpet cleaner.,1
212,"['enthusiastic', 'happy']","Instead, they found a McDonalds.",Sally and her bear Teddy had a tea party outdoors.,1
213,"['anticipation', 'excited', 'eager', 'pleased']",Bill spent a lot of time meeting students.,Next week we'll return to the woods with our dog for more fun.,1
214,"['surprised', 'intrigued']",Today I found a little green worm.,"They had free coffee there, plus a tv.",0
215,"['interested', 'confident']",A team competed in an NBA 2K tournament.,David was interviewing a witness.,1
216,"['anxious', 'annoyed', 'frustrated']",Betty loved playing her trumpet.,He noticed traffic slowed to a stop.,1
217,"['happy', 'elated', 'fat', 'excited']","She decided to adopt a big, fluffy Maine Coon cat!",She added some bubbles.,0
218,"['enjoy', 'content', 'happy']",A man next to Jeff began to glare at him.,Bob and his friends always played golf.,1
219,"['jealous', 'frustrated', 'annoyed', 'angry', 'shocked']",He realized his nephew was spoiled.,We were searching for a mountain pool.,0
220,"['excited', 'doubt', 'optimistic', 'athletic', 'cocky']",A lot of people looked at me then.,George believed he could one day win the championship.,1
221,"['happy', 'thankful', 'glad', 'honored']",Jeanie was voted overwhelming as class president.,Tonight she came from NY and asked where Peter was.,1
222,"['grateful', 'thankful', 'excited']",She left his home and moved back in with her mom.,Jill was so thrilled.,1
223,"['bummed', 'confused']",The spoon bent as soon as I put it in the soup.,Nothing seemed to be coming out organically.,0
224,"['panicked', 'terrible', 'surprised']",All her neck was getting swollen.,"Igor told his son death was like that, but with atoms.",0
225,"['needy', 'flustered', 'disjointed']",She asked for help.,Soon Lisa needed to stop at a restroom.,0
226,"['happy', 'great', 'hopeful']",Ramon danced at work while waiting tables.,"He auditioned for movie, dancing the best he could.",1
227,"['satisfied', 'content']",Then his wife popped in a DVD.,The boy had a favorite stuffed animal.,1
228,"['responsible', 'smart', 'upset', 'angry']",His parents promised to help him through it.,I made an editing account.,1
229,"['nervous', 'afraid']",Corinne walked out very slowly repeating her single line to herself.,Meisha went to the comedy club and felt very prepared.,0
230,"['satisfied', 'appreciated', 'thrilled', 'nervous', 'happy', 'excited', 'reinvigorated', 'motivated']",He spoke to her in a deep voice.,Fritz became a chef for a change of pace!,1
231,['happy'],Her friend gave her a burger.,The scout spoke up and tried to get the general's attention.,0
232,"['annoyed', 'angry', 'painful']",My foot has been itching badly since I got that mosquito bite.,Alex's entire family voted Democrat.,0
233,"['hardship', 'tormenting', 'desperate']",The doctors placed me on a starvation diet of 800 daily calories.,The player who runs out of time loses.,0
234,"['angry', 'hurt', 'pained']",When they got there she was so bored.,Landed in just a way that cause my elbow to break.,1
235,"['amused', 'contemplative', 'curious']",Johnny is glad he found a way to stay cool.,Sid sat back to watch what they'd do with them.,1
236,"['helpful', 'uncaring', 'uninterested', 'relieved', 'thankful', 'nervous', 'grateful', 'surprised', 'eager']","After a while, the couple decided to separate.","Lucy was surprised, but pleased when she agreed to drive her.",1
237,"['apologetic', 'awkward', 'disappointed']",He didn't have many friends but he was a genius with numbers.,She spent the evening looking down at him!,1
