,sentence,label
95,His friend agreed and Manuel kept his house.,2
96,Kija has been researching methods of healthy eating.,2
97,Kija has been researching methods of healthy eating.,0
98,Kija has been researching methods of healthy eating.,2
99,She finally settles on a meal replacement drink to start.,0
100,She finally settles on a meal replacement drink to start.,2
101,She finally settles on a meal replacement drink to start.,3
102,She orders a crate of soylent and is excited when it arrives.,3
103,She orders a crate of soylent and is excited when it arrives.,3
104,She orders a crate of soylent and is excited when it arrives.,3
105,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0
106,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0
107,"Unfortunately, one swig of the drink makes her mouth itch and swell.",2
108,"Kija didn't know, but she's allergic to soy.",0
109,"Kija didn't know, but she's allergic to soy.",3
110,"Kija didn't know, but she's allergic to soy.",0
111,Billy noticed he had trouble reading the chalkboard in class.,0
112,Billy noticed he had trouble reading the chalkboard in class.,2
113,Billy noticed he had trouble reading the chalkboard in class.,0
114,He moved towards the front and he could read it perfectly.,3
115,He moved towards the front and he could read it perfectly.,2
116,He then visited an eye doctor to ask about this.,0
117,He then visited an eye doctor to ask about this.,0
118,He then visited an eye doctor to ask about this.,0
119,The doctor diagnosed him with myopia or nearsightedness.,0
120,The doctor diagnosed him with myopia or nearsightedness.,2
121,The doctor diagnosed him with myopia or nearsightedness.,0
122,John bought glasses and could see perfectly from then on.,2
123,John bought glasses and could see perfectly from then on.,3
124,John bought glasses and could see perfectly from then on.,2
125,Tom would gather them up and take them to recycle.,3
126,Tom would gather them up and take them to recycle.,2
127,Tom would gather them up and take them to recycle.,3
128,He made a good amount of extra money that way.,3
129,He made a good amount of extra money that way.,3
130,He made a good amount of extra money that way.,3
131,Yoshio was 31 years old and played modern video games.,2
132,Yoshio was 31 years old and played modern video games.,2
133,Yoshio was 31 years old and played modern video games.,3
134,One day he had a hankering to play the old classic Nintendo.,2
135,One day he had a hankering to play the old classic Nintendo.,3
136,One day he had a hankering to play the old classic Nintendo.,2
137,"He figured it was so old, it'd be sold online for very little money.",2
138,"He figured it was so old, it'd be sold online for very little money.",2
139,"He figured it was so old, it'd be sold online for very little money.",2
140,But Yoshio was very wrong-the console was insanely expensive!,2
141,But Yoshio was very wrong-the console was insanely expensive!,2
142,But Yoshio was very wrong-the console was insanely expensive!,3
143,It was now a collector's item instead of just a toy.,0
144,It was now a collector's item instead of just a toy.,2
145,It was now a collector's item instead of just a toy.,3
146,Gina returned to her desk from the bathroom.,0
147,Gina returned to her desk from the bathroom.,2
148,"She saw her friends Mary, and Rita talking to each other.",0
149,"She saw her friends Mary, and Rita talking to each other.",3
150,"She saw her friends Mary, and Rita talking to each other.",0
151,Gina knew they had been talking about her.,0
152,Gina knew they had been talking about her.,0
153,Gina knew they had been talking about her.,2
154,And she knew Rita had told Mary what she promised to keep secret.,0
155,And she knew Rita had told Mary what she promised to keep secret.,2
156,And she knew Rita had told Mary what she promised to keep secret.,0
157,And she knew Rita had told Mary what she promised to keep secret.,2
158,And she knew Rita had told Mary what she promised to keep secret.,0
159,And she knew Rita had told Mary what she promised to keep secret.,0
160,And she knew Rita had told Mary what she promised to keep secret.,0
161,And she knew Rita had told Mary what she promised to keep secret.,0
162,And she knew Rita had told Mary what she promised to keep secret.,2
163,My parents got new jobs.,3
164,My parents got new jobs.,3
165,My parents got new jobs.,2
166,We packed our stuff in boxes.,2
167,We packed our stuff in boxes.,3
168,We packed our stuff in boxes.,2
169,We packed our stuff in boxes.,2
170,We packed our stuff in boxes.,0
171,We packed our stuff in boxes.,3
172,We moved to Alabama.,0
173,We moved to Alabama.,0
174,We moved to Alabama.,0
175,We moved to Alabama.,0
176,We moved to Alabama.,0
177,We moved to Alabama.,3
178,He jumped around for the kids to entice them.,3
179,He jumped around for the kids to entice them.,3
180,He jumped around for the kids to entice them.,3
181,He jumped around for the kids to entice them.,2
182,One child saw this action and was drawn into the monkey.,3
183,One child saw this action and was drawn into the monkey.,0
184,One child saw this action and was drawn into the monkey.,3
185,One child saw this action and was drawn into the monkey.,3
186,One child saw this action and was drawn into the monkey.,3
187,One child saw this action and was drawn into the monkey.,2
188,The kid felt like he should reward the monkey for the entertainment.,2
189,The kid felt like he should reward the monkey for the entertainment.,2
190,The kid felt like he should reward the monkey for the entertainment.,3
191,The kid threw some of his food over the fence to feed the monkey.,3
192,The kid threw some of his food over the fence to feed the monkey.,3
193,The kid threw some of his food over the fence to feed the monkey.,3
194,The kid threw some of his food over the fence to feed the monkey.,2
195,The kid threw some of his food over the fence to feed the monkey.,2
196,The kid threw some of his food over the fence to feed the monkey.,3
197,He called the Dog Whisperer Cesar Millan to sort out their problems.,2
198,He called the Dog Whisperer Cesar Millan to sort out their problems.,3
199,He called the Dog Whisperer Cesar Millan to sort out their problems.,0
200,Caesar said Vincent was the problem.,2
201,Caesar said Vincent was the problem.,3
202,Caesar said Vincent was the problem.,0
203,Caesar said Vincent was the problem.,0
204,Caesar said Vincent was the problem.,0
205,Caesar said Vincent was the problem.,0
206,He had Vincent assert his dominance.,0
207,He had Vincent assert his dominance.,0
208,He had Vincent assert his dominance.,2
209,Vincent asserted his dominance right into Caesar's butt.,3
210,Vincent asserted his dominance right into Caesar's butt.,3
211,Vincent asserted his dominance right into Caesar's butt.,2
212,Vincent asserted his dominance right into Caesar's butt.,2
213,Vincent asserted his dominance right into Caesar's butt.,0
214,A boy pick up a rock at the beach.,3
215,A boy pick up a rock at the beach.,2
216,A boy pick up a rock at the beach.,3
217,He felt the texture and inspected it for smoothness.,0
218,He felt the texture and inspected it for smoothness.,0
219,He felt the texture and inspected it for smoothness.,0
220,He approved of the rock for a skipping stone.,2
221,He approved of the rock for a skipping stone.,3
222,He approved of the rock for a skipping stone.,2
223,The boy brought his arm back and waited for calm water.,0
224,The boy brought his arm back and waited for calm water.,3
225,The boy brought his arm back and waited for calm water.,2
226,During a lull he threw the stone and it skipped 11 times on the water.,3
227,During a lull he threw the stone and it skipped 11 times on the water.,2
228,During a lull he threw the stone and it skipped 11 times on the water.,3
229,The girl giggled as it popped open against the fridge.,3
230,The girl giggled as it popped open against the fridge.,2
231,The girl giggled as it popped open against the fridge.,3
232,She touched the magnet gently against the metal.,2
233,She touched the magnet gently against the metal.,3
234,She touched the magnet gently against the metal.,2
235,"She did it over and over again, laughing.",3
236,"She did it over and over again, laughing.",3
237,"She did it over and over again, laughing.",2
238,My foot has been itching badly since I got that mosquito bite.,0
239,My foot has been itching badly since I got that mosquito bite.,0
240,My foot has been itching badly since I got that mosquito bite.,0
241,I have been scratching the bite all day long since I got it.,0
242,I have been scratching the bite all day long since I got it.,0
243,I have been scratching the bite all day long since I got it.,0
244,The mosquito bit me on the bottom of my foot.,0
245,The mosquito bit me on the bottom of my foot.,0
246,The mosquito bit me on the bottom of my foot.,3
247,The ointment I put on it didn't really help much.,0
248,The ointment I put on it didn't really help much.,3
249,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0
250,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0
251,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",2
252,Margaret couldn't afford her regular eye makeup anymore.,0
253,Margaret couldn't afford her regular eye makeup anymore.,2
254,Margaret couldn't afford her regular eye makeup anymore.,0
255,So she went to the store for free samples.,0
256,So she went to the store for free samples.,0
257,So she went to the store for free samples.,0
258,She used the samples until they ran out.,0
259,She used the samples until they ran out.,2
260,She used the samples until they ran out.,0
261,Turns out she liked one of them.,2
262,Turns out she liked one of them.,3
263,Turns out she liked one of them.,2
264,And it was cheaper than what she usually wore!,3
265,And it was cheaper than what she usually wore!,3
266,And it was cheaper than what she usually wore!,3
267,I was very excited to go downtown to do some shopping.,2
268,I was very excited to go downtown to do some shopping.,3
269,I was very excited to go downtown to do some shopping.,2
270,I looked out the window and saw it was raining very heavily.,0
271,I looked out the window and saw it was raining very heavily.,0
272,I looked out the window and saw it was raining very heavily.,0
273,I became very sad.,0
274,I became very sad.,0
275,I became very sad.,0
276,So I stayed home by myself all day instead.,0
277,So I stayed home by myself all day instead.,0
278,So I stayed home by myself all day instead.,0
279,The Sharks goalie was hurt and couldn't play.,0
280,The Sharks goalie was hurt and couldn't play.,3
281,The Sharks goalie was hurt and couldn't play.,3
282,The Sharks goalie was hurt and couldn't play.,0
283,The Sharks goalie was hurt and couldn't play.,0
284,James was asked to fill in.,3
285,James was asked to fill in.,2
286,James was asked to fill in.,2
287,James was asked to fill in.,0
288,James was asked to fill in.,0
289,Everyone cheered him on.,3
290,Everyone cheered him on.,3
291,Everyone cheered him on.,3
292,Everyone cheered him on.,3
293,Everyone cheered him on.,3
294,Everyone cheered him on.,3
295,James blocked every shot and skyrocketed to superstar status.,3
296,James blocked every shot and skyrocketed to superstar status.,3
297,This Sunday I decided to try a new place.,2
298,This Sunday I decided to try a new place.,2
299,This Sunday I decided to try a new place.,3
300,I ate a whole pizza to myself.,3
301,I ate a whole pizza to myself.,2
302,I ate a whole pizza to myself.,3
303,I felt very full but satisfied.,2
304,I felt very full but satisfied.,2
305,I felt very full but satisfied.,2
306,I immediately fell asleep when I got home.,3
307,I immediately fell asleep when I got home.,3
308,I immediately fell asleep when I got home.,3
309,He needed a good pair of jeans at the Mall.,2
310,He needed a good pair of jeans at the Mall.,2
311,He needed a good pair of jeans at the Mall.,3
312,After buying his jeans he walks by an animal shop and sees a dog.,2
313,After buying his jeans he walks by an animal shop and sees a dog.,3
314,After buying his jeans he walks by an animal shop and sees a dog.,3
315,Shawn falls in love with the dog at the store.,3
316,Shawn falls in love with the dog at the store.,3
317,Shawn falls in love with the dog at the store.,3
318,Shawn buys the dog and the two become best friends.,3
319,Shawn buys the dog and the two become best friends.,3
320,Shawn buys the dog and the two become best friends.,3
321,Shawn buys the dog and the two become best friends.,3
322,Shawn buys the dog and the two become best friends.,3
323,Shawn buys the dog and the two become best friends.,3
324,A man was on a flight back home to his wife.,0
325,A man was on a flight back home to his wife.,3
326,A man was on a flight back home to his wife.,3
327,When suddenly the flight was canceled due to bad weather.,3
328,When suddenly the flight was canceled due to bad weather.,0
329,When suddenly the flight was canceled due to bad weather.,0
330,When suddenly the flight was canceled due to bad weather.,0
331,When suddenly the flight was canceled due to bad weather.,0
332,When suddenly the flight was canceled due to bad weather.,0
333,"He was stuck on the tarmac, and his wife called.",0
334,"He was stuck on the tarmac, and his wife called.",2
335,"He was stuck on the tarmac, and his wife called.",0
336,"He was stuck on the tarmac, and his wife called.",0
337,"He was stuck on the tarmac, and his wife called.",0
338,She was furious that he was late.,0
339,She was furious that he was late.,3
340,She was furious that he was late.,0
341,She was furious that he was late.,0
342,She was furious that he was late.,0
343,The man had the pilot himself tell her that it couldn't be helped.,0
344,The man had the pilot himself tell her that it couldn't be helped.,0
345,The man had the pilot himself tell her that it couldn't be helped.,0
346,The man had the pilot himself tell her that it couldn't be helped.,0
347,The man had the pilot himself tell her that it couldn't be helped.,0
348,The man had the pilot himself tell her that it couldn't be helped.,0
349,The man had the pilot himself tell her that it couldn't be helped.,0
350,The man had the pilot himself tell her that it couldn't be helped.,3
351,The man had the pilot himself tell her that it couldn't be helped.,0
352,Joe hates to cut his hair.,0
353,Joe hates to cut his hair.,2
354,Joe hates to cut his hair.,0
355,His hair is so long he can't see.,0
356,His hair is so long he can't see.,0
357,His hair is so long he can't see.,0
358,Joe wrecked his bike because he couldn't see.,0
359,Joe wrecked his bike because he couldn't see.,2
360,Joe wrecked his bike because he couldn't see.,0
361,He decided he had to get his hair cut.,0
362,He decided he had to get his hair cut.,0
363,He decided he had to get his hair cut.,0
364,He walked up town to the barber.,0
365,He walked up town to the barber.,0
366,He walked up town to the barber.,3
367,He wasn't paying any attention to where he was going.,3
368,He wasn't paying any attention to where he was going.,3
369,His head was down and he mindlessly walked into a tree.,0
370,His head was down and he mindlessly walked into a tree.,0
371,His head was down and he mindlessly walked into a tree.,2
372,"His phone fell from his hands landing face down, he hoped it was ok.",0
373,"His phone fell from his hands landing face down, he hoped it was ok.",0
374,When he picked it up he realized it had shattered into pieces.,0
375,When he picked it up he realized it had shattered into pieces.,0
376,When he picked it up he realized it had shattered into pieces.,0
377,Matt walked on to the bus looked for a seat.,0
378,Matt walked on to the bus looked for a seat.,2
379,Matt walked on to the bus looked for a seat.,2
380,He could not find any open seat so he stood.,0
381,He could not find any open seat so he stood.,0
382,He could not find any open seat so he stood.,3
383,A person offered his seat to Matt if he gave him $20.,0
384,A person offered his seat to Matt if he gave him $20.,3
385,A person offered his seat to Matt if he gave him $20.,0
386,A person offered his seat to Matt if he gave him $20.,0
387,A person offered his seat to Matt if he gave him $20.,2
388,A person offered his seat to Matt if he gave him $20.,2
389,Matt told the person that he was being unfair.,0
390,Matt told the person that he was being unfair.,0
391,Matt told the person that he was being unfair.,0
392,The person shrugged and ignored Matt for the rest of his ride.,0
393,The person shrugged and ignored Matt for the rest of his ride.,0
394,The person shrugged and ignored Matt for the rest of his ride.,0
395,The person shrugged and ignored Matt for the rest of his ride.,0
396,The person shrugged and ignored Matt for the rest of his ride.,0
397,The person shrugged and ignored Matt for the rest of his ride.,0
398,Jennifer visited Florida with her grandparents.,3
399,Jennifer visited Florida with her grandparents.,3
400,Jennifer visited Florida with her grandparents.,3
401,Jennifer visited Florida with her grandparents.,3
402,Jennifer visited Florida with her grandparents.,3
403,Jennifer visited Florida with her grandparents.,3
404,"They stayed in a resort, and their room had a backyard.",3
405,"They stayed in a resort, and their room had a backyard.",3
406,"They stayed in a resort, and their room had a backyard.",3
407,Jennifer woke up early one day and noticed cranes out back.,2
408,Jennifer woke up early one day and noticed cranes out back.,3
409,Jennifer woke up early one day and noticed cranes out back.,3
410,"Excited, she ran in to get bread.",3
411,"Excited, she ran in to get bread.",3
412,"The cranes are out of her hand, and she enjoyed it very much.",3
413,"The cranes are out of her hand, and she enjoyed it very much.",2
414,"The cranes are out of her hand, and she enjoyed it very much.",3
415,Martha was very insecure with herself,0
416,Martha was very insecure with herself,0
417,Martha was very insecure with herself,0
418,She had a boyfriend named Alain,0
419,She had a boyfriend named Alain,0
420,She had a boyfriend named Alain,0
421,She would constantly accuse him of cheating,0
422,She would constantly accuse him of cheating,0
423,She would constantly accuse him of cheating,0
424,She would constantly accuse him of cheating,0
425,She would constantly accuse him of cheating,0
426,She would constantly accuse him of cheating,0
427,One day things got so bad and they got in a fight,0
428,One day things got so bad and they got in a fight,0
429,One day things got so bad and they got in a fight,0
430,One day things got so bad and they got in a fight,0
431,One day things got so bad and they got in a fight,0
432,One day things got so bad and they got in a fight,0
433,Alain reassured martha of his love for her and they were happy.,3
434,Alain reassured martha of his love for her and they were happy.,3
435,Alain reassured martha of his love for her and they were happy.,0
436,Alain reassured martha of his love for her and they were happy.,0
437,Alain reassured martha of his love for her and they were happy.,3
438,Alain reassured martha of his love for her and they were happy.,3
439,Nora's female cat ran away from home.,0
440,Nora's female cat ran away from home.,0
441,Nora's female cat ran away from home.,0
442,Nora's female cat ran away from home.,0
443,Nora's female cat ran away from home.,0
444,Nora's female cat ran away from home.,0
445,Nora was devastated!,0
446,Nora was devastated!,0
447,Nora was devastated!,3
448,"Then a neighbor returned the cat, which had been in his yard.",3
449,"Then a neighbor returned the cat, which had been in his yard.",3
450,"Then a neighbor returned the cat, which had been in his yard.",3
451,"He warned Nora that he had a male cat, but Nora only smiled.",3
452,"He warned Nora that he had a male cat, but Nora only smiled.",3
453,"He warned Nora that he had a male cat, but Nora only smiled.",0
454,"He warned Nora that he had a male cat, but Nora only smiled.",3
455,"He warned Nora that he had a male cat, but Nora only smiled.",0
456,"He warned Nora that he had a male cat, but Nora only smiled.",2
457,She wasn't worried because she had had her cat fixed!,0
458,She wasn't worried because she had had her cat fixed!,2
459,She wasn't worried because she had had her cat fixed!,3
460,The dog wandered out on the street one day.,2
461,The dog wandered out on the street one day.,0
462,The dog wandered out on the street one day.,0
463,The dog wandered out on the street one day.,0
464,The dog wandered out on the street one day.,0
465,The dog wandered out on the street one day.,0
466,It was killed by a car.,0
467,It was killed by a car.,0
468,She bought the same type of dog a year later.,3
469,She bought the same type of dog a year later.,3
470,She bought the same type of dog a year later.,0
471,She keeps a close eye on it.,0
472,She keeps a close eye on it.,2
473,She keeps a close eye on it.,0
474,"Monday is Barry's 45th birthday, two days away.",3
475,"Monday is Barry's 45th birthday, two days away.",3
476,"Monday is Barry's 45th birthday, two days away.",2
477,He is excited but secretly hoping there will not be a surprise party.,2
478,He is excited but secretly hoping there will not be a surprise party.,2
479,He is excited but secretly hoping there will not be a surprise party.,0
480,Barry's girlfriend decides this year she won't throw a party.,2
481,Barry's girlfriend decides this year she won't throw a party.,0
482,Barry's girlfriend decides this year she won't throw a party.,2
483,Barry's girlfriend decides this year she won't throw a party.,3
484,Barry's girlfriend decides this year she won't throw a party.,2
485,Barry's girlfriend decides this year she won't throw a party.,3
486,She remembered him talking about a saltwater guided fishing trip.,2
487,She remembered him talking about a saltwater guided fishing trip.,2
488,She remembered him talking about a saltwater guided fishing trip.,3
489,She remembered him talking about a saltwater guided fishing trip.,3
490,She remembered him talking about a saltwater guided fishing trip.,3
491,She remembered him talking about a saltwater guided fishing trip.,2
492,So on Monday she surprised him with the fishing trip plan and passes.,2
493,So on Monday she surprised him with the fishing trip plan and passes.,3
494,So on Monday she surprised him with the fishing trip plan and passes.,3
495,So on Monday she surprised him with the fishing trip plan and passes.,3
496,So on Monday she surprised him with the fishing trip plan and passes.,3
497,While on her way to school Mary's backpack broke.,0
498,While on her way to school Mary's backpack broke.,0
499,While on her way to school Mary's backpack broke.,0
500,Her books fell all over the sidewalk.,0
501,Her books fell all over the sidewalk.,2
502,Her books fell all over the sidewalk.,0
503,She decided to go to the mall the next day.,0
504,She decided to go to the mall the next day.,0
505,She decided to go to the mall the next day.,0
506,While searching for a new bag she found a very beautiful one.,3
507,While searching for a new bag she found a very beautiful one.,2
508,While searching for a new bag she found a very beautiful one.,3
509,The new bag is much stronger and she receives many compliments.,3
510,The new bag is much stronger and she receives many compliments.,3
511,The new bag is much stronger and she receives many compliments.,3
512,Tony had just moved into a new home.,3
513,Tony had just moved into a new home.,3
514,Tony had just moved into a new home.,2
515,He had dozens of boxes to unpack.,0
516,He had dozens of boxes to unpack.,0
517,He had dozens of boxes to unpack.,0
518,He invited his friends over to help him.,3
519,He invited his friends over to help him.,0
520,He invited his friends over to help him.,2
521,He invited his friends over to help him.,3
522,He invited his friends over to help him.,3
523,He invited his friends over to help him.,3
524,The work was done quickly.,3
525,The work was done quickly.,3
526,Tony ordered pizza for his friends in appreciation.,3
527,Tony ordered pizza for his friends in appreciation.,3
528,Tony ordered pizza for his friends in appreciation.,3
529,Tony ordered pizza for his friends in appreciation.,3
530,Tony ordered pizza for his friends in appreciation.,3
531,Tony ordered pizza for his friends in appreciation.,3
532,I had my first kiss when I was 15.,3
533,I had my first kiss when I was 15.,2
534,I had my first kiss when I was 15.,3
535,The boy told me I was a bad kisser.,0
536,The boy told me I was a bad kisser.,0
537,The boy told me I was a bad kisser.,0
538,The boy told me I was a bad kisser.,0
539,The boy told me I was a bad kisser.,3
540,The boy told me I was a bad kisser.,0
541,I saw him again when I was older.,2
542,I saw him again when I was older.,0
543,I saw him again when I was older.,0
544,I decided to kiss him again.,0
545,I decided to kiss him again.,0
546,I decided to kiss him again.,3
547,I decided to kiss him again.,2
548,I decided to kiss him again.,2
549,I decided to kiss him again.,2
550,He was amazed at how good of a kisser I had become.,2
551,He was amazed at how good of a kisser I had become.,3
552,He was amazed at how good of a kisser I had become.,2
553,He was amazed at how good of a kisser I had become.,3
554,He was amazed at how good of a kisser I had become.,3
555,He was amazed at how good of a kisser I had become.,2
556,Mary and Ted found out they were expecting a baby.,3
557,Mary and Ted found out they were expecting a baby.,3
558,Mary and Ted found out they were expecting a baby.,3
559,Mary and Ted found out they were expecting a baby.,3
560,Mary and Ted found out they were expecting a baby.,3
561,They decided to turn the spare bedroom into a nursery.,3
562,They decided to turn the spare bedroom into a nursery.,3
563,They decided to turn the spare bedroom into a nursery.,3
564,They decided to turn the spare bedroom into a nursery.,3
565,They decided to turn the spare bedroom into a nursery.,2
566,They decided to turn the spare bedroom into a nursery.,3
567,The couple went and bought new furnishings at a baby store.,3
568,The couple went and bought new furnishings at a baby store.,2
569,The couple went and bought new furnishings at a baby store.,3
570,The couple went and bought new furnishings at a baby store.,3
571,The couple went and bought new furnishings at a baby store.,3
572,The couple went and bought new furnishings at a baby store.,3
573,They decorated and repainted the room a light green.,3
574,They decorated and repainted the room a light green.,3
575,They decorated and repainted the room a light green.,3
576,They decorated and repainted the room a light green.,3
577,They decorated and repainted the room a light green.,3
578,The nursery was ready for when the baby arrived.,3
579,The nursery was ready for when the baby arrived.,3
580,The nursery was ready for when the baby arrived.,3
581,The nursery was ready for when the baby arrived.,3
582,The nursery was ready for when the baby arrived.,3
583,The nursery was ready for when the baby arrived.,3
584,Julie took a large canvas tent out camping.,3
585,Julie took a large canvas tent out camping.,2
586,Julie took a large canvas tent out camping.,3
587,She loved the tent because it was so spacious.,3
588,She loved the tent because it was so spacious.,3
589,She loved the tent because it was so spacious.,3
590,After the first night it rained and the canvas tent started to leak.,0
591,After the first night it rained and the canvas tent started to leak.,0
592,After the first night it rained and the canvas tent started to leak.,3
593,She was miserable the whole time on this camping trip.,0
594,She was miserable the whole time on this camping trip.,0
595,Julie now uses a nylon tent when she goes camping.,3
596,Julie now uses a nylon tent when she goes camping.,2
597,Julie now uses a nylon tent when she goes camping.,0
598,Tom was discussing music with his friends.,3
599,Tom was discussing music with his friends.,3
600,Tom was discussing music with his friends.,3
601,His friends asked Tom who his favorite musician was.,0
602,His friends asked Tom who his favorite musician was.,2
603,His friends asked Tom who his favorite musician was.,0
604,Tom said Jimi Hendrix was the best guitar player in history.,3
605,Tom said Jimi Hendrix was the best guitar player in history.,2
606,His friends listened to Jimi Hendrix.,2
607,His friends listened to Jimi Hendrix.,3
608,His friends listened to Jimi Hendrix.,2
609,His friends listened to Jimi Hendrix.,3
610,His friends listened to Jimi Hendrix.,3
611,His friends agreed.,2
612,His friends agreed.,3
613,His friends agreed.,3
614,His friends agreed.,3
615,His friends agreed.,2
616,His friends agreed.,3
617,She decided to make her own.,2
618,She decided to make her own.,2
619,She decided to make her own.,3
620,She gathered the materials and she found a tutorial.,2
621,She gathered the materials and she found a tutorial.,2
622,She gathered the materials and she found a tutorial.,3
623,She worked all night sewing her new hat.,2
624,She worked all night sewing her new hat.,3
625,She worked all night sewing her new hat.,3
626,"At work, everyone complimented her unique hat.",3
627,"At work, everyone complimented her unique hat.",0
628,"At work, everyone complimented her unique hat.",2
629,"At work, everyone complimented her unique hat.",3
630,"At work, everyone complimented her unique hat.",2
631,"At work, everyone complimented her unique hat.",3
632,Davis never liked the idea of fishing.,0
633,Davis never liked the idea of fishing.,0
634,"However, in his town all young men are expected to fish.",0
635,"However, in his town all young men are expected to fish.",0
636,"However, in his town all young men are expected to fish.",0
637,Finally Davis goes fishing for sea bass.,0
638,Finally Davis goes fishing for sea bass.,0
639,He catches a mighty sea bass on his first try.,3
640,He catches a mighty sea bass on his first try.,3
641,He catches a mighty sea bass on his first try.,3
642,Davis decides that fishing is more fun than he thought.,3
643,Davis decides that fishing is more fun than he thought.,3
644,Davis decides that fishing is more fun than he thought.,3
645,All of a sudden I noticed that I spilled some paint on the rug.,0
646,All of a sudden I noticed that I spilled some paint on the rug.,0
647,All of a sudden I noticed that I spilled some paint on the rug.,0
648,It was a big bright spot.,0
649,It was a big bright spot.,0
650,It was a big bright spot.,0
651,I tried everything to get it out.,0
652,I tried everything to get it out.,0
653,I tried everything to get it out.,0
654,Finally I decided to just put a chair over it.,3
655,Finally I decided to just put a chair over it.,0
656,Finally I decided to just put a chair over it.,0
657,Kate had gone swimming at the park.,2
658,Kate had gone swimming at the park.,2
659,Kate had gone swimming at the park.,2
660,She hadn't asked for permission from her mother.,0
661,She hadn't asked for permission from her mother.,0
